target_power,meas_power,dc_current,pa_therm,xo_therm
23,2.281800E+01,+9.31231000E-01,33.255,30.004
23,2.289216E+01,+9.37114000E-01,36.148,30.432
23,2.284456E+01,+9.47572000E-01,38.411,31.273
23,2.295943E+01,+9.48226000E-01,40.324,32.289
23,2.301578E+01,+9.69469000E-01,42.053,33.386
23,2.297631E+01,+9.68488000E-01,43.642,34.498
23,2.297262E+01,+9.95614000E-01,45.079,35.564
23,2.298228E+01,+9.77312000E-01,46.377,36.564
23,2.298691E+01,+9.77966000E-01,47.571,37.49
23,2.289194E+01,+1.02666100E+00,48.645,38.313
10,9.944692E+00,+2.52110000E-01,32.728,30.284
10,9.943401E+00,+2.50476000E-01,33.107,30.301
10,9.871413E+00,+2.51129000E-01,33.352,30.366
10,9.908446E+00,+2.50476000E-01,33.589,30.47
10,9.916782E+00,+2.50476000E-01,33.757,30.557
10,9.895348E+00,+2.56359000E-01,33.931,30.692
10,9.950145E+00,+2.51129000E-01,34.089,30.803
10,9.918115E+00,+2.50149000E-01,34.234,30.91
10,9.912824E+00,+2.52764000E-01,34.355,31.033
10,9.898850E+00,+2.55051000E-01,34.498,31.123
11,1.084203E+01,+3.23682000E-01,32.479,30.015
11,1.087007E+01,+3.21395000E-01,33.153,30.086
11,1.085717E+01,+3.24663000E-01,33.679,30.273
11,1.085447E+01,+3.22702000E-01,34.135,30.508
11,1.087981E+01,+3.22702000E-01,34.544,30.758
11,1.085874E+01,+3.32180000E-01,34.889,31.0
11,1.089517E+01,+3.23029000E-01,35.184,31.234
11,1.087719E+01,+3.24009000E-01,35.471,31.439
11,1.085926E+01,+3.26297000E-01,35.721,31.647
11,1.086002E+01,+3.38716000E-01,35.95,31.819
12,1.184597E+01,+3.50808000E-01,32.557,30.081
12,1.189111E+01,+3.53749000E-01,33.392,30.169
12,1.191787E+01,+3.54076000E-01,34.013,30.355
12,1.188863E+01,+3.56037000E-01,34.533,30.594
12,1.185518E+01,+3.56037000E-01,34.978,30.854
12,1.192512E+01,+3.57018000E-01,35.366,31.145
12,1.190313E+01,+3.54730000E-01,35.726,31.411
12,1.187328E+01,+3.55710000E-01,36.046,31.669
12,1.187796E+01,+3.54076000E-01,36.369,31.916
12,1.188869E+01,+3.56364000E-01,36.641,32.171
13,1.288320E+01,+3.67802000E-01,32.496,29.959
13,1.275423E+01,+3.67149000E-01,33.386,30.075
13,1.268503E+01,+3.65842000E-01,34.031,30.273
13,1.264490E+01,+3.78261000E-01,34.578,30.529
13,1.260687E+01,+3.65188000E-01,35.049,30.854
13,1.257337E+01,+3.66168000E-01,35.488,31.162
13,1.254532E+01,+3.65842000E-01,35.848,31.466
13,1.251493E+01,+3.68456000E-01,36.226,31.723
13,1.250042E+01,+3.65188000E-01,36.517,31.99
13,1.247783E+01,+3.64534000E-01,36.811,32.199
14,1.423636E+01,+3.03747000E-01,32.379,29.843
14,1.386907E+01,+3.00805000E-01,32.963,29.926
14,1.388043E+01,+3.01132000E-01,33.392,30.059
14,1.385631E+01,+2.98518000E-01,33.729,30.268
14,1.392362E+01,+2.99825000E-01,34.083,30.486
14,1.390085E+01,+2.97537000E-01,34.366,30.713
14,1.391425E+01,+2.99825000E-01,34.653,30.921
14,1.392271E+01,+3.00479000E-01,34.877,31.123
14,1.387886E+01,+2.97864000E-01,35.131,31.295
14,1.386349E+01,+3.01459000E-01,35.308,31.461
15,1.492365E+01,+3.36101000E-01,32.423,29.893
15,1.490955E+01,+3.46233000E-01,33.176,29.976
15,1.489961E+01,+3.37409000E-01,33.707,30.186
15,1.489801E+01,+3.40023000E-01,34.216,30.437
15,1.492618E+01,+3.36428000E-01,34.595,30.675
15,1.490333E+01,+3.46559000E-01,35.019,30.933
15,1.487450E+01,+3.41657000E-01,35.319,31.19
15,1.485794E+01,+3.40023000E-01,35.605,31.4
15,1.487110E+01,+3.40023000E-01,35.854,31.609
15,1.492725E+01,+3.41657000E-01,36.094,31.768
16,1.582223E+01,+3.85777000E-01,32.535,29.954
16,1.585205E+01,+3.91987000E-01,33.471,30.075
16,1.581796E+01,+3.90353000E-01,34.199,30.295
16,1.581926E+01,+3.90679000E-01,34.777,30.616
16,1.582653E+01,+3.91333000E-01,35.308,30.916
16,1.584210E+01,+3.91660000E-01,35.784,31.267
16,1.585764E+01,+3.94601000E-01,36.196,31.565
16,1.586613E+01,+3.93294000E-01,36.57,31.86
16,1.587631E+01,+4.01464000E-01,36.901,32.098
16,1.580935E+01,+3.96889000E-01,37.224,32.368
17,1.686410E+01,+5.01470000E-01,32.49,29.87
17,1.687865E+01,+4.99836000E-01,33.92,30.031
17,1.687121E+01,+5.00816000E-01,35.007,30.355
17,1.692134E+01,+5.50819000E-01,35.89,30.786
17,1.691184E+01,+5.09313000E-01,36.705,31.262
17,1.684813E+01,+5.24020000E-01,37.369,31.713
17,1.691669E+01,+5.04084000E-01,38.009,32.166
17,1.688291E+01,+5.05065000E-01,38.552,32.596
17,1.688414E+01,+5.08660000E-01,39.07,33.004
17,1.686815E+01,+5.09967000E-01,39.528,33.369
18,1.790011E+01,+5.29903000E-01,32.596,29.787
18,1.785041E+01,+6.24352000E-01,34.447,30.015
18,1.789351E+01,+6.51478000E-01,35.938,30.481
18,1.790366E+01,+6.25006000E-01,37.212,31.084
18,1.782475E+01,+6.33176000E-01,38.288,31.713
18,1.786041E+01,+6.32849000E-01,39.265,32.396
18,1.787452E+01,+6.32849000E-01,40.125,32.998
18,1.781149E+01,+6.32523000E-01,40.926,33.606
18,1.781534E+01,+6.34483000E-01,41.618,34.17
18,1.797005E+01,+6.40366000E-01,42.314,34.67
19,1.887813E+01,+6.66511000E-01,32.865,29.898
19,1.890870E+01,+6.79911000E-01,34.948,30.142
19,1.886378E+01,+6.70106000E-01,36.511,30.648
19,1.883871E+01,+6.74028000E-01,37.813,31.301
19,1.885960E+01,+6.77623000E-01,39.013,32.041
19,1.886620E+01,+6.81545000E-01,40.028,32.734
19,1.891639E+01,+6.81218000E-01,40.958,33.403
19,1.888871E+01,+6.77950000E-01,41.793,34.071
19,1.896232E+01,+6.88081000E-01,42.626,34.698
19,1.896328E+01,+6.99846000E-01,43.33,35.278
20,1.990045E+01,+7.13899000E-01,32.998,29.831
20,1.992124E+01,+7.23050000E-01,35.255,30.136
20,1.989287E+01,+7.27299000E-01,36.925,30.713
20,1.988240E+01,+7.29587000E-01,38.381,31.461
20,1.988506E+01,+7.28933000E-01,39.628,32.256
20,1.984904E+01,+7.43313000E-01,40.775,33.044
20,1.996082E+01,+7.56059000E-01,41.799,33.78
20,1.994483E+01,+7.45927000E-01,42.752,34.493
